Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /Users/robert/xipki/xipki-pki-4.0.1-SNAPSHOT/lock
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Oct 10, 2018 5:05:05 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFO: Lock acquired. Setting startlevel to 100
2018-10-10T17:05:06,910 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.servicemix.bundles/org.apache.servicemix.bundles.not-yet-commons-ssl/0.3.11_1
2018-10-10T17:05:06,912 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.apache.sshd/sshd-core/1.7.0
2018-10-10T17:05:06,920 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.jline/jline-builtins/3.9.0
2018-10-10T17:05:06,924 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.jline/jline-reader/3.9.0
2018-10-10T17:05:06,928 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.jline/jline-terminal/3.9.0
2018-10-10T17:05:06,931 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.jline/jline-terminal-jansi/3.9.0
2018-10-10T17:05:06,934 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.ow2.asm/asm/6.2.1
2018-10-10T17:05:06,936 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.ow2.asm/asm-commons/6.2.1
2018-10-10T17:05:06,939 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.ow2.asm/asm-tree/6.2.1
2018-10-10T17:05:06,941 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.ow2.asm/asm-analysis/6.2.1
2018-10-10T17:05:06,946 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.ow2.asm/asm-util/6.2.1
2018-10-10T17:05:06,949 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.5.4/jar/uber
2018-10-10T17:05:07,050 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 | Starting bundles:
2018-10-10T17:05:07,050 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.ops4j.pax.url.wrap/2.5.4
2018-10-10T17:05:07,055 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.objectweb.asm/6.2.1
2018-10-10T17:05:07,056 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.objectweb.asm.tree/6.2.1
2018-10-10T17:05:07,056 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.objectweb.asm.tree.analysis/6.2.1
2018-10-10T17:05:07,056 | INFO  | features-3-thread-1 | FeaturesServiceImpl              1073 | 9 - org.apache.karaf.features.core - 4.2.1 |   org.objectweb.asm.util/6.2.1
